Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.238,Rio de Janeiro,2023-01-12T01:58:28.500Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.238,Rio de Janeiro,2023-01-08T15:44:58.763Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-F12105BD691BD889B861BC4B83030CCF1538891AAD06D444538EAD23EFA8B86B,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:18:5024:e3ad:212b:46b3:6666:ee29,Rio de Janeiro,2023-01-07T15:16:10.156Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.158,Rio de Janeiro,2023-01-07T00:55:29.319Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-F12105BD691BD889B861BC4B83030CCF1538891AAD06D444538EAD23EFA8B86B,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,37.19.199.150,New York,2023-01-07T00:13:36.028Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.210,Rio de Janeiro,2023-01-06T13:04:25.488Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.220,Rio de Janeiro,2023-01-02T00:30:55.386Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.167,Rio de Janeiro,2022-12-31T00:45:47.433Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.220,Rio de Janeiro,2022-12-29T14:43:49.481Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-F12105BD691BD889B861BC4B83030CCF1538891AAD06D444538EAD23EFA8B86B,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.220,Rio de Janeiro,2022-12-27T15:31:33.161Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.220,Rio de Janeiro,2022-12-19T13:22:50.585Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.220,Rio de Janeiro,2022-12-17T16:45:19.745Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-F12105BD691BD889B861BC4B83030CCF1538891AAD06D444538EAD23EFA8B86B,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.220,Rio de Janeiro,2022-12-17T16:42:27.519Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-F12105BD691BD889B861BC4B83030CCF1538891AAD06D444538EAD23EFA8B86B,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.187,Rio de Janeiro,2022-12-16T23:00:06.356Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.187,Rio de Janeiro,2022-12-15T16:15:39.568Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.236,Rio de Janeiro,2022-12-13T15:21:47.095Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.187,Rio de Janeiro,2022-12-07T20:41:38.054Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.187,Rio de Janeiro,2022-12-02T15:55:34.295Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-F12105BD691BD889B861BC4B83030CCF1538891AAD06D444538EAD23EFA8B86B,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.187,Rio de Janeiro,2022-11-25T22:54:08.718Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.187,Rio de Janeiro,2022-11-21T00:25:33.806Z
