Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jessica,tvui,playback,,,2022-12-26 16:18:18
Jessica,tvui,browseTitles,,,2022-12-26 16:18:15
Jessica,tvui,movieDetails,,,2022-12-26 16:18:15
Jessica,tvui,movieDetails,,,2022-12-26 13:56:15
Jessica,tvui,playback,,,2022-12-26 13:56:15
Jessica,tvui,browseTitles,,,2022-12-26 13:56:13
Jessica,tvui,movieDetails,,,2022-12-26 13:56:13
Jessica,tvui,movieDetails,,,2022-12-26 13:55:33
Jessica,tvui,browseTitles,,,2022-12-26 13:55:33
Jessica,tvui,playback,,,2022-12-26 13:55:28
Jessica,tvui,movieDetails,,,2022-12-26 13:55:28
Jessica,tvui,playback,,,2022-12-26 13:52:24
Jessica,tvui,movieDetails,,,2022-12-26 13:52:24
Jessica,tvui,browseTitles,,,2022-12-26 13:52:22
Jessica,tvui,movieDetails,,,2022-12-26 13:52:22
Jessica,tvui,movieDetails,,,2022-12-26 13:51:58
Jessica,tvui,browseTitles,,,2022-12-26 13:51:58
Jessica,tvui,playback,,,2022-12-26 13:51:52
Jessica,tvui,movieDetails,,,2022-12-26 13:51:52
Jessica,tvui,movieDetails,,,2022-12-26 13:51:23
Jessica,tvui,playback,,,2022-12-26 13:51:23
Jessica,tvui,browseTitles,,,2022-12-26 13:51:20
Jessica,tvui,movieDetails,,,2022-12-26 13:51:20
Jessica,tvui,search,,,2022-12-26 01:40:05
Jessica,tvui,browseTitles,,,2022-12-26 01:40:05
Jessica,android,movieDetails,,,2022-12-26 01:35:23
Jessica,android,search,,,2022-12-26 01:35:22
Jessica,android,search,,,2022-12-26 01:35:08
Jessica,android,browseTitles,,,2022-12-26 01:35:07
Jessica,android,accountMenu,,,2022-12-26 01:34:48
Jessica,android,browseTitles,,,2022-12-26 01:34:48
Jessica,android,browseTitlesGallery,,,2022-12-26 01:34:46
Jessica,android,accountMenu,,,2022-12-26 01:34:46
Jessica,android,accountMenu,,,2022-12-26 01:34:45
Jessica,android,browseTitlesGallery,,,2022-12-26 01:34:45
Jessica,android,accountMenu,,,2022-12-26 01:34:43
Jessica,android,browseTitles,,,2022-12-26 01:34:42
Jessica,android,search,,,2022-12-26 01:34:10
Jessica,android,browseTitles,,,2022-12-26 01:34:10
Jessica,android,browseTitles,,,2022-12-26 01:33:28
Jessica,android,search,,,2022-12-26 01:33:28
Jessica,android,profilesGate,,,2022-12-26 01:33:17
Jessica,android,browseTitles,,,2022-12-26 01:33:17
Jessica,tvui,browseTitles,,,2022-12-26 01:31:40
Jessica,tvui,search,,,2022-12-26 01:31:40
Jessica,tvui,browseTitles,,,2022-12-25 20:17:26
Jessica,tvui,playback,,,2022-12-25 20:17:26
Jessica,tvui,postPlay,,,2022-12-25 05:25:45
Jessica,tvui,movieDetails,,,2022-12-25 05:25:45
Jessica,tvui,playback,,,2022-12-25 05:25:40
Jessica,tvui,postPlay,,,2022-12-25 05:25:40
Jessica,tvui,movieDetails,,,2022-12-25 03:47:32
Jessica,tvui,playback,,,2022-12-25 03:47:32
Jessica,tvui,browseTitles,,,2022-12-25 03:47:06
Jessica,tvui,movieDetails,,,2022-12-25 03:47:06
Jessica,android,browseTitles,,,2022-12-23 21:28:47
Jessica,android,search,,,2022-12-23 21:28:47
Jessica,android,profilesGate,,,2022-12-23 21:28:45
Jessica,android,browseTitles,,,2022-12-23 21:28:45
Jessica,android,search,,,2022-12-23 21:26:48
Jessica,android,browseTitles,,,2022-12-23 21:26:47
Jessica,tvui,movieDetails,,,2022-12-23 16:42:18
Jessica,tvui,playback,,,2022-12-23 16:42:18
Jessica,tvui,browseTitles,,,2022-12-23 16:41:58
Jessica,tvui,movieDetails,,,2022-12-23 16:41:58
Jessica,tvui,playback,,,2022-12-23 16:41:42
Jessica,tvui,browseTitles,,,2022-12-23 16:41:42
Jessica,tvui,browseTitles,,,2022-12-23 16:35:11
Jessica,tvui,playback,,,2022-12-23 16:35:11
Jessica,tvui,playback,,,2022-12-23 16:00:39
Jessica,tvui,movieDetails,,,2022-12-23 16:00:39
Jessica,tvui,movieDetails,,,2022-12-23 15:35:17
Jessica,tvui,playback,,,2022-12-23 15:35:17
Jessica,tvui,browseTitles,,,2022-12-23 15:35:09
Jessica,tvui,movieDetails,,,2022-12-23 15:35:09
Jessica,tvui,movieDetails,,,2022-12-23 02:06:25
Jessica,tvui,browseTitlesGallery,,,2022-12-23 02:06:25
Jessica,tvui,playback,,,2022-12-23 02:06:18
Jessica,tvui,movieDetails,,,2022-12-23 02:06:18
Jessica,tvui,movieDetails,,,2022-12-23 02:02:03
Jessica,tvui,playback,,,2022-12-23 02:02:03
Jessica,tvui,browseTitlesGallery,,,2022-12-23 02:02:00
Jessica,tvui,movieDetails,,,2022-12-23 02:02:00
Jessica,tvui,movieDetails,,,2022-12-23 02:01:54
Jessica,tvui,browseTitlesGallery,,,2022-12-23 02:01:54
Jessica,tvui,playback,,,2022-12-23 02:01:50
Jessica,tvui,movieDetails,,,2022-12-23 02:01:50
Jessica,tvui,movieDetails,,,2022-12-23 00:38:30
Jessica,tvui,playback,,,2022-12-23 00:38:30
Jessica,tvui,browseTitlesGallery,,,2022-12-23 00:38:27
Jessica,tvui,movieDetails,,,2022-12-23 00:38:27
Jessica,tvui,movieDetails,,,2022-12-23 00:36:05
Jessica,tvui,browseTitlesGallery,,,2022-12-23 00:36:05
Jessica,tvui,browseTitlesGallery,,,2022-12-23 00:35:48
Jessica,tvui,movieDetails,,,2022-12-23 00:35:48
Jessica,tvui,search,,,2022-12-23 00:35:31
Jessica,tvui,browseTitlesGallery,,,2022-12-23 00:35:31
Jessica,tvui,movieDetails,,,2022-12-23 00:35:20
Jessica,tvui,search,,,2022-12-23 00:35:20
Jessica,tvui,playback,,,2022-12-23 00:35:13
Jessica,tvui,movieDetails,,,2022-12-23 00:35:13
Jessica,tvui,movieDetails,,,2022-12-23 00:17:37
Jessica,tvui,playback,,,2022-12-23 00:17:37
Jessica,tvui,search,,,2022-12-23 00:17:33
Jessica,tvui,movieDetails,,,2022-12-23 00:17:33
Jessica,tvui,movieDetails,,,2022-12-23 00:17:22
Jessica,tvui,search,,,2022-12-23 00:17:22
Jessica,tvui,search,,,2022-12-23 00:17:18
Jessica,tvui,movieDetails,,,2022-12-23 00:17:18
Jessica,tvui,movieDetails,,,2022-12-23 00:16:56
Jessica,tvui,search,,,2022-12-23 00:16:56
Jessica,tvui,search,,,2022-12-23 00:16:53
Jessica,tvui,movieDetails,,,2022-12-23 00:16:53
Jessica,tvui,movieDetails,,,2022-12-23 00:16:42
Jessica,tvui,search,,,2022-12-23 00:16:42
Jessica,tvui,search,,,2022-12-23 00:16:31
Jessica,tvui,movieDetails,,,2022-12-23 00:16:31
Jessica,tvui,movieDetails,,,2022-12-23 00:15:47
Jessica,tvui,search,,,2022-12-23 00:15:47
Jessica,tvui,search,,,2022-12-23 00:15:42
Jessica,tvui,movieDetails,,,2022-12-23 00:15:42
Jessica,tvui,browseTitles,,,2022-12-23 00:15:10
Jessica,tvui,search,,,2022-12-23 00:15:10
Jessica,android,search,,,2022-12-22 23:50:53
Jessica,android,browseTitles,,,2022-12-22 23:50:52
Jessica,android,profilesGate,,,2022-12-22 23:50:51
Jessica,android,browseTitles,,,2022-12-22 23:50:51
Jessica,tvui,movieDetails,,,2022-12-22 02:33:45
Jessica,tvui,browseTitles,,,2022-12-22 02:33:45
Jessica,tvui,playback,,,2022-12-22 02:33:41
Jessica,tvui,movieDetails,,,2022-12-22 02:33:41
Jessica,tvui,movieDetails,,,2022-12-22 02:04:59
Jessica,tvui,playback,,,2022-12-22 02:04:59
Jessica,tvui,browseTitles,,,2022-12-22 02:04:56
Jessica,tvui,movieDetails,,,2022-12-22 02:04:56
Jessica,tvui,movieDetails,,,2022-12-21 02:28:41
Jessica,tvui,browseTitles,,,2022-12-21 02:28:41
Jessica,tvui,postPlay,,,2022-12-21 02:28:40
Jessica,tvui,movieDetails,,,2022-12-21 02:28:40
Jessica,tvui,playback,,,2022-12-21 02:28:37
Jessica,tvui,postPlay,,,2022-12-21 02:28:37
Jessica,tvui,movieDetails,,,2022-12-21 01:59:57
Jessica,tvui,playback,,,2022-12-21 01:59:57
Jessica,tvui,browseTitles,,,2022-12-21 01:59:48
Jessica,tvui,movieDetails,,,2022-12-21 01:59:48
Jessica,tvui,movieDetails,,,2022-12-21 01:59:39
Jessica,tvui,browseTitles,,,2022-12-21 01:59:39
Jessica,tvui,playback,,,2022-12-21 01:59:34
Jessica,tvui,movieDetails,,,2022-12-21 01:59:34
Jessica,tvui,movieDetails,,,2022-12-21 01:42:41
Jessica,tvui,playback,,,2022-12-21 01:42:41
Jessica,tvui,browseTitles,,,2022-12-21 01:42:37
Jessica,tvui,movieDetails,,,2022-12-21 01:42:37
Jessica,tvui,movieDetails,,,2022-12-19 16:35:44
Jessica,tvui,playback,,,2022-12-19 16:35:44
