Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Jessica,BR,Smart TV,0,terre,Force of Nature,select,title_results,2022-09-17 20:39:32
Jessica,BR,Smart TV,0,te,Geostorm,select,title_results,2022-09-17 20:38:55
Jessica,BR,Smart TV,0,ficc,Rim of the World,play,title_results,2022-09-17 17:37:09
Jessica,BR,Smart TV,0,ficc,Rim of the World,select,title_results,2022-09-17 17:37:05
Jessica,BR,Smart TV,0,ficc,,select,title_results,2022-09-17 17:36:49
Jessica,BR,HTML 5,0,fátima,Fatima,select,suggestion_results,2022-09-03 13:38:34
Jessica,BR,HTML 5,0,fátima,Fatima,select,suggestion_results,2022-09-03 13:38:34
Jessica,BR,HTML 5,0,fátima,Fatima,select,suggestion_results,2022-09-03 13:38:31
Jessica,BR,HTML 5,0,fátima,Fatima,select,suggestion_results,2022-09-03 13:38:31
Jessica,BR,Smart TV,0,com,Ride Along 2,play,suggestion_results,2022-08-27 19:00:31
Jessica,BR,Smart TV,0,com,Ride Along 2,select,suggestion_results,2022-08-27 19:00:26
Jessica,BR,Smart TV,0,com,,select,suggestion_results,2022-08-27 18:59:54
Jessica,BR,Smart TV,0,alj,The Addams Family,play,suggestion_results,2022-08-27 01:24:04
Jessica,BR,Smart TV,0,alj,The Addams Family,play,suggestion_results,2022-08-26 23:51:30
Jessica,BR,Smart TV,0,alj,The Addams Family,select,suggestion_results,2022-08-26 23:51:13
Jessica,BR,Smart TV,0,alj,Alice in Wonderland,select,suggestion_results,2022-08-26 23:50:34
Jessica,BR,Android Phone,0,racismo,Monster,select,title_results,2022-08-25 14:59:56
Jessica,BR,Android Phone,0,racismo,Monster,select,title_results,2022-08-25 14:59:47
Jessica,BR,Android Phone,0,racismo,Gifted Hands: The Ben Carson Story,select,title_results,2022-08-25 14:59:37
Jessica,BR,Android Phone,0,racismo,Citation,select,title_results,2022-08-25 14:58:39
Jessica,BR,Android Phone,0,racismo,,select,title_results,2022-08-25 14:58:24
Jessica,BR,Android Phone,0,,"Extraordinary Attorney Woo: Season 1: ""The Blue Night of Jeju II""",play,prequery_results,2022-08-25 14:57:28
Jessica,BR,Android Phone,0,,,select,prequery_results,2022-08-25 14:57:07
Jessica,BR,Android Phone,0,mudança de hábito ,"Girl, Interrupted",select,title_results,2022-08-22 01:01:46
Jessica,BR,Smart TV,0,best,The Best of Enemies,play,title_results,2022-08-20 17:18:36
Jessica,BR,Smart TV,0,best,The Best of Enemies,select,title_results,2022-08-20 17:18:32
Jessica,BR,Android Phone,0,adams,The Addams Family,select,title_results,2022-08-20 13:38:55
Jessica,BR,Android Phone,0,after,All The Bright Places,select,title_results,2022-08-18 19:29:26
Jessica,BR,Smart TV,0,sog,,play,title_results,2022-08-13 20:22:00
Jessica,BR,Smart TV,0,sog,,select,title_results,2022-08-13 20:21:55
Jessica,BR,Smart TV,0,fic,Against The Ice,play,title_results,2022-08-12 00:47:25
Jessica,BR,Smart TV,0,fic,Against The Ice,select,title_results,2022-08-12 00:47:10
Jessica,BR,Smart TV,0,fic,John Wick: Chapter 2,select,title_results,2022-08-12 00:46:28
Jessica,BR,Smart TV,0,fic,Canvas,select,title_results,2022-08-12 00:46:17
Jessica,BR,Smart TV,0,fic,Alien Warfare,play,title_results,2022-08-11 23:15:50
Jessica,BR,Smart TV,0,fic,Alien Warfare,select,title_results,2022-08-11 23:15:39
Jessica,BR,Smart TV,0,fic,Battle: Los Angeles,select,title_results,2022-08-11 23:14:56
Jessica,BR,Smart TV,0,gu,The Wolf's Call,select,suggestion_results,2022-08-11 23:08:55
Jessica,BR,Smart TV,0,gu,,select,suggestion_results,2022-08-11 23:08:47
Jessica,BR,Smart TV,0,gu,The Hurt Locker,select,suggestion_results,2022-08-11 23:08:14
Jessica,BR,Smart TV,0,gu,,select,suggestion_results,2022-08-11 23:07:54
Jessica,BR,Smart TV,0,racis,Son of the South,play,title_results,2022-08-10 10:31:02
Jessica,BR,Smart TV,0,racis,Son of the South,select,title_results,2022-08-10 10:30:53
Jessica,BR,Smart TV,0,racis,Monster,select,title_results,2022-08-10 10:30:39
Jessica,BR,Smart TV,0,ane,Cook Off,play,title_results,2022-08-10 10:27:38
Jessica,BR,Smart TV,0,ane,Cook Off,select,title_results,2022-08-10 10:27:27
Jessica,BR,Smart TV,0,coral,Paul,play,title_results,2022-08-08 00:42:27
Jessica,BR,Smart TV,0,coral,Paul,play,title_results,2022-08-08 00:12:48
Jessica,BR,Smart TV,0,coral,Paul,play,title_results,2022-08-08 00:12:17
Jessica,BR,Smart TV,0,coral,Paul,play,title_results,2022-08-08 00:09:52
Jessica,BR,Smart TV,0,coral,Paul,select,title_results,2022-08-08 00:09:47
Jessica,BR,Smart TV,0,q,Otherhood,select,suggestion_results,2022-08-08 00:07:43
Jessica,BR,Smart TV,0,q,,select,suggestion_results,2022-08-08 00:07:24
Jessica,BR,Smart TV,0,q,Dancing Queens,select,suggestion_results,2022-08-08 00:07:10
Jessica,BR,Smart TV,0,q,Juanita,select,suggestion_results,2022-08-08 00:06:52
Jessica,BR,Smart TV,0,q,Wine Country,select,suggestion_results,2022-08-08 00:06:41
Jessica,BR,Smart TV,0,q,Love Beats Rhymes,play,suggestion_results,2022-08-08 00:05:46
Jessica,BR,Smart TV,0,q,Love Beats Rhymes,play,suggestion_results,2022-08-08 00:03:11
Jessica,BR,Smart TV,0,q,Love Beats Rhymes,select,suggestion_results,2022-08-08 00:02:58
Jessica,BR,Smart TV,0,q,,select,suggestion_results,2022-08-08 00:02:32
Jessica,BR,Smart TV,0,q,Roxanne Roxanne,select,suggestion_results,2022-08-08 00:02:18
Jessica,BR,Smart TV,0,q,When the Bough Breaks,select,suggestion_results,2022-08-08 00:02:04
Jessica,BR,Smart TV,0,q,,select,suggestion_results,2022-08-08 00:01:29
Jessica,BR,Smart TV,0,vio,Oprah + Viola: A Netflix Special Event,select,title_results,2022-07-30 20:43:29
Jessica,BR,Smart TV,0,vio,Nappily Ever After,select,suggestion_results,2022-07-30 20:43:16
Jessica,BR,Smart TV,0,vio,Nappily Ever After,play,suggestion_results,2022-07-30 20:35:00
Jessica,BR,Smart TV,0,vio,Nappily Ever After,select,suggestion_results,2022-07-30 20:34:56
Jessica,BR,Smart TV,0,vio,,select,suggestion_results,2022-07-30 20:34:44
Jessica,BR,Smart TV,0,vio,The Best of Enemies,select,suggestion_results,2022-07-30 20:34:19
Jessica,BR,Smart TV,0,vio,Juanita,select,suggestion_results,2022-07-30 20:34:06
Jessica,BR,Smart TV,0,vio,,select,suggestion_results,2022-07-30 20:33:50
Jessica,BR,Android Phone,0,viola,,select,title_results,2022-07-30 02:03:19
Jessica,BR,Smart TV,0,r,,select,suggestion_results,2022-07-24 16:54:58
Jessica,BR,Android Phone,0,sintonia ,,select,title_results,2022-07-21 15:38:54
Jessica,BR,Smart TV,0,bec,Beckett,play,title_results,2022-07-13 00:25:34
Jessica,BR,Smart TV,0,bec,Beckett,select,title_results,2022-07-13 00:25:29
Jessica,BR,Android Phone,0,bec,Lost Bullet,add,title_results,2022-07-13 00:24:49
Jessica,BR,Android Phone,0,bec,Lost Bullet,select,title_results,2022-07-13 00:24:48
Jessica,BR,Android Phone,0,bec,Backtrace,add,title_results,2022-07-13 00:24:07
